DebrisID,Description,Finishes,Structure,Foundation,Comment
IND4NBFT4,IND4 without basement with footing foundation at 4-8' water,0.7,0,0,
IND4NBFT8,IND4 without basement with footing foundation at 8-12'+ water,1.5,0,0,
IND4NBFT12,IND4 without basement with footing foundation at 12'+ water,1.7,34.8,5.2,
IND4NBSG0,IND4 without basement with slab on grade foundation at 0-1' water,0.5,0,0,
IND4NBSG1,IND4 without basement with slab on grade foundation at 1-4' water,0.5,0,0,
IND4NBSG4,IND4 without basement with slab on grade foundation at 4-8' water,0.7,0,0,
IND4NBSG8,IND4 without basement with slab on grade foundation at 8-12'+ water,1.5,0,0,
IND4NBSG12,IND4 without basement with slab on grade foundation at 12'+ water,1.7,34.8,25,
IND5NBFT0,IND5 without basement with footing foundation at 0-1' water,0.5,0,0,
IND5NBFT1,IND5 without basement with footing foundation at 1-4' water,0.5,0,0,
IND5NBFT4,IND5 without basement with footing foundation at 4-8' water,0.7,0,0,
IND5NBFT8,IND5 without basement with footing foundation at 8-12'+ water,1.5,0,0,
IND5NBFT12,IND5 without basement with footing foundation at 12'+ water,1.7,58.3,5.2,
IND5NBSG0,IND5 without basement with slab on grade foundation at 0-1' water,0.5,0,0,
IND5NBSG1,IND5 without basement with slab on grade foundation at 1-4' water,0.5,0,0,
IND5NBSG4,IND5 without basement with slab on grade foundation at 4-8' water,0.7,0,0,
IND5NBSG8,IND5 without basement with slab on grade foundation at 8-12'+ water,1.5,0,0,
IND5NBSG12,IND5 without basement with slab on grade foundation at 12'+ water,1.7,58.3,25,
IND6NBFT0,IND6 without basement with footing foundation at 0-1' water,1.8,0,0,
IND6NBFT1,IND6 without basement with footing foundation at 1-4' water,1.8,0,0,
IND6NBFT4,IND6 without basement with footing foundation at 4-8' water,2.5,0,0,
IND6NBFT8,IND6 without basement with footing foundation at 8-12'+ water,4.3,0,0,
IND6NBFT12,IND6 without basement with footing foundation at 12'+ water,5,34,5.2,
IND6NBSG0,IND6 without basement with slab on grade foundation at 0-1' water,1.8,0,0,
IND6NBSG1,IND6 without basement with slab on grade foundation at 1-4' water,1.8,0,0,
IND6NBSG4,IND6 without basement with slab on grade foundation at 4-8' water,2.5,0,0,
IND6NBSG8,IND6 without basement with slab on grade foundation at 8-12'+ water,4.3,0,0,
IND6NBSG12,IND6 without basement with slab on grade foundation at 12'+ water,5,34,37.5,
REL1NBFT0,REL1 without basement with footing foundation at 0-1' water,1,0,0,
REL1NBFT1,REL1 without basement with footing foundation at 1-4' water,1,0,0,
REL1NBFT4,REL1 without basement with footing foundation at 4-8' water,1.3,0,0,
REL1NBFT8,REL1 without basement with footing foundation at 8-12'+ water,2.8,0,0,
REL1NBFT12,REL1 without basement with footing foundation at 12'+ water,3.1,32.5,8.7,
REL1NBSG0,REL1 without basement with slab on grade foundation at 0-1' water,1,0,0,
REL1NBSG1,REL1 without basement with slab on grade foundation at 1-4' water,1,0,0,
REL1NBSG4,REL1 without basement with slab on grade foundation at 4-8' water,1.3,0,0,
REL1NBSG8,REL1 without basement with slab on grade foundation at 8-12'+ water,2.8,0,0,
REL1NBSG12,REL1 without basement with slab on grade foundation at 12'+ water,3.1,32.5,25,
AGR1NBFT0,AGR1 without basement with footing foundation at 0-1' water,0,12.3,5.2,Very pessimistic
AGR1NBFT1,AGR1 without basement with footing foundation at 1-4' water,0,12.3,5.2,Very pessimistic
AGR1NBFT4,AGR1 without basement with footing foundation at 4-8' water,0,12.3,5.2,Very pessimistic
AGR1NBFT8,AGR1 without basement with footing foundation at 8-12'+ water,0,12.3,5.2,Very pessimistic
